t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
48.3462,0.690164,0.378091,0.535572,0.430698,0.298268,0.463359,-0.998221,-0.977382,0.0422769,0.697158,1,3,0,1,2
48.64,0.69169,0.383118,0.528366,0.437462,0.302524,0.475643,-0.996532,-0.963184,0.0501906,0.704127,1,3,0,1,2
48.9396,0.693329,0.389919,0.52843,0.440758,0.301055,0.468159,-0.998181,-0.966556,0.221691,0.711033,1,3,0,1,2
49.2343,0.696219,0.397435,0.535642,0.451926,0.302912,0.473008,-0.998301,-0.962716,0.333927,0.758042,1,3,0,1,2
49.5312,0.698998,0.403234,0.53574,0.459754,0.301888,0.464702,-0.999153,-0.970887,0.521271,0.759897,1,3,0,1,2
49.797,0.698664,0.40757,0.535763,0.468701,0.30279,0.463094,-0.99928,-0.97274,0.600413,0.767032,1,3,0,1,2
50.0961,0.701355,0.413453,0.536464,0.481222,0.300754,0.439306,-0.999744,-0.989793,0.857752,0.783308,0.999998,3,0,1,2
50.3883,0.704112,0.419254,0.536741,0.497037,0.301709,0.451925,-0.999641,-0.984997,0.865652,0.819586,0.999999,3,0,1,2
50.5871,0.702099,0.424172,0.549898,0.509707,0.301153,0.443026,-0.99979,-0.990688,0.90943,0.872346,0.999996,3,0,1,2
50.8845,0.703039,0.428991,0.556587,0.525793,0.300603,0.441444,-0.999849,-0.992372,0.941783,0.904184,0.999984,3,0,1,2
51.1825,0.7035,0.436603,0.556878,0.545757,0.298555,0.432825,-0.999916,-0.995166,0.972231,0.949497,0.999861,3,0,1,2
51.4798,0.701649,0.446153,0.55729,0.564515,0.301072,0.445556,-0.999899,-0.994237,0.967308,0.946393,0.999878,3,0,1,2
51.7799,0.700842,0.454801,0.558194,0.579107,0.30506,0.465694,-0.999565,-0.984379,0.845527,0.954545,0.99998,3,0,1,2
52.0722,0.699721,0.46625,0.551847,0.595539,0.306595,0.471703,-0.999315,-0.975941,0.764905,0.966577,0.999983,3,0,1,2
52.3359,0.696593,0.471758,0.565042,0.600553,0.309055,0.478201,-0.998163,-0.970804,0.374799,0.97622,0.999971,3,0,1,2
52.633,0.692822,0.478856,0.565229,0.609095,0.308622,0.485212,-0.996232,-0.950321,0.187875,0.978191,0.999979,3,0,1,2
52.9294,0.687301,0.490262,0.577879,0.617634,0.314022,0.48372,-0.994585,-0.962049,-0.0626595,0.97817,0.999952,3,0,1,2
53.2276,0.688365,0.499617,0.553338,0.619017,0.319357,0.490012,-0.993527,-0.93325,0.111722,0.979947,0.999969,3,0,1,2
53.5297,0.687415,0.507004,0.547348,0.623445,0.319515,0.475811,-0.998711,-0.977834,0.441548,0.983634,0.999827,3,0,1,2
53.8216,0.684768,0.513197,0.547506,0.626367,0.325749,0.488809,-0.992206,-0.948854,-0.0354552,0.981564,0.99993,3,0,1,2
54.1183,0.684995,0.519683,0.541376,0.631976,0.32533,0.488904,-0.992659,-0.940388,0.0260047,0.981263,0.999944,3,0,1,2
54.4149,0.685903,0.523003,0.521652,0.640141,0.32897,0.481676,-0.998709,-0.924792,0.475612,0.987694,0.999959,3,0,1,2
54.6815,0.685499,0.527359,0.522136,0.639342,0.331783,0.488185,-0.997135,-0.872585,0.402548,0.980352,0.999983,3,0,1,2
54.9808,0.6849,0.530599,0.515542,0.646455,0.332264,0.49518,-0.995155,-0.537757,0.612293,0.939187,0.999997,3,0,1,2
55.2726,0.684294,0.533863,0.508902,0.651717,0.336265,0.494999,-0.995447,-0.343643,0.647657,0.867959,0.999994,3,0,1,2
55.5701,0.6826,0.538112,0.501785,0.652383,0.339933,0.508494,-0.980525,0.148111,0.811442,0.0355987,0.999988,3,0,1,2
55.8655,0.680526,0.547889,0.503007,0.656434,0.344844,0.508102,-0.971718,0.179001,0.785793,0.0671253,0.999971,3,0,1,2
56.1653,0.675649,0.557571,0.489442,0.660178,0.354135,0.507418,-0.970923,0.630759,0.968033,-0.131194,0.999902,3,0,1,2
56.4628,0.673902,0.561967,0.482106,0.662747,0.358295,0.500567,-0.986848,0.550411,0.975431,0.392708,0.99971,3,0,1,2
56.764,0.671017,0.574337,0.468444,0.666192,0.371986,0.499395,-0.990474,0.469822,0.98284,0.647918,0.998935,3,0,1,2
