t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
41.3643,0.315865,0.28096,0.0858816,0.274484,0.702504,0.14182,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
41.6592,0.3065,0.284488,0.0753613,0.278158,0.701565,0.152664,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
41.957,0.3065,0.284488,0.0753613,0.278533,0.706525,0.132907,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
42.2557,0.3065,0.284488,0.0753613,0.276114,0.703605,0.132821,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
42.556,0.3065,0.284488,0.0753613,0.276327,0.705715,0.124216,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
42.8473,0.3065,0.284488,0.0753613,0.275506,0.704645,0.112435,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
43.1782,0.30679,0.284924,0.063521,0.27403,0.705685,0.112597,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
43.4053,0.308186,0.283762,0.0631125,0.275681,0.707176,0.102206,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
43.7046,0.30679,0.284924,0.063521,0.275506,0.704645,0.112435,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
44.005,0.30679,0.284924,0.063521,0.276985,0.703244,0.113428,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
44.3046,0.30679,0.284924,0.063521,0.273393,0.706757,0.0917994,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
44.5963,0.3065,0.284488,0.0753613,0.277168,0.705767,0.103222,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
44.8937,0.300469,0.289271,0.0741509,0.279819,0.711281,0.0930498,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
45.1977,0.300469,0.289271,0.0741509,0.279825,0.711641,0.0918987,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
45.5913,0.300469,0.289271,0.0741509,0.276035,0.712308,0.0814762,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
46.0506,0.300469,0.289271,0.0741509,0.277353,0.708312,0.0929262,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
46.3446,0.300469,0.289271,0.0741509,0.278151,0.709755,0.103612,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
46.8745,0.300469,0.289271,0.0741509,0.278841,0.707264,0.0927331,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
47.3464,0.300469,0.289271,0.0741509,0.281308,0.710234,0.0928475,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
47.7376,0.298436,0.286892,0.0643188,0.279819,0.711281,0.0930498,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
48.0282,0.290984,0.292864,0.0635609,0.2825,0.716837,0.0828457,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
48.2967,0.29237,0.291701,0.0630806,0.283995,0.715787,0.0826193,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
48.5889,0.29237,0.291701,0.0630806,0.283995,0.715787,0.0826193,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
48.8845,0.294433,0.294059,0.0729242,0.2825,0.716837,0.0828457,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
49.1879,0.293052,0.295216,0.0733949,0.283995,0.715787,0.0826193,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
49.5819,0.294433,0.294059,0.0729242,0.283995,0.715787,0.0826193,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
49.9765,0.294433,0.294059,0.0729242,0.2825,0.716837,0.0828457,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
